Completed,Difference,Fate,Hull_Number,Laid_Down,Launched,Name,Namesake,Shipyard,Type
1943-04-30,40.0,"Sold private 1947, scrapped 1969",1103,1943-03-21,1943-04-18,Glenn Curtiss,Glenn Curtiss,Permanente Metals Co Yard,Cargo
1943-04-30,42.0,"Sold private 1947, wrecked and scrapped 1968",1102,1943-03-19,1943-04-16,William Thornton,William Thornton,Permanente Metals Co Yard,Cargo
1943-04-30,52.0,Scrapped 1969,1037,1943-03-09,1943-04-16,Henry Groves Connor,Henry Groves Connor,Delta Shipbuilding Co,Cargo
1943-04-30,42.0,"Sold private 1947, scrapped 1963",972,1943-03-19,1943-04-23,Ward Hunt,Ward Hunt,Bethlehem-Fairfield Shipyards,Cargo
1943-04-30,235.0,"Bombed and lost in Bari, 1943",1521,1942-09-07,1943-03-31,John Bascom,John Bascom,J A Jones Construction Co (Panama City),Cargo
1943-04-30,34.0,Scrapped 1959,1640,1943-03-27,1943-04-21,Wiley Post,Wiley Post,California Shipbuilding Corp,Cargo
1943-04-30,157.0,Scrapped 1959,347,1942-11-24,1943-03-19,Robert Toombs,Robert Toombs,Southeastern Shipbuilding Corp,Cargo
1943-04-30,35.0,Scrapped 1963,1639,1943-03-26,1943-04-18,Mark Keppel,Mark Keppel,California Shipbuilding Corp,Cargo
1943-05-01,37.0,Scrapped 1962,974,1943-03-25,1943-04-24,William Pepper,William Pepper,Bethlehem-Fairfield Shipyards,Cargo
1943-05-03,29.0,Sunk as a breakwater in Nikiska 1967,1631,1943-04-04,1943-04-25,William H McGuffey,William H. McGuffey,Oregon Shipbuilding Corp,Cargo
1943-05-04,36.0,Reefed off Horn Island MS 1975,1641,1943-03-29,1943-04-22,George Gershwin,George Gershwin,California Shipbuilding Corp,Cargo
1943-05-04,33.0,"Sold private 1947, reefed off Wachapreague NC 1975",912,1943-04-01,1943-04-27,Walter Hines Page,Walter Hines Page,North Carolina Shipbuilding Co,Cargo
1943-05-05,53.0,Scrapped 1971,537,1943-03-13,1943-04-18,William A Jones,William A. Jones,Permanente Metals Co Yard,Cargo
1943-05-05,28.0,Scrapped 1966,2003,1943-04-07,1943-04-27,Cushman K Davis,Cushman K. Davis,Oregon Shipbuilding Corp,Cargo
1943-05-05,42.0,"To U.S. Navy 1952 as YAG-39, scrapped 1977",1104,1943-03-24,1943-04-20,George Eastman,George Eastman,Permanente Metals Co Yard,Cargo
1943-05-05,60.0,Scrapped 1961,1038,1943-03-06,1943-04-22,William M Evarts,William M. Evarts,Delta Shipbuilding Co,Cargo
1943-05-06,36.0,"To U.S. Navy as Megrez (AK-126), scrapped 1974",1642,1943-03-31,1943-04-23,Megrez,Mariano Guadalupe Vallejo,California Shipbuilding Corp,Cargo
1943-05-06,27.0,"To Russia 1943 as Pskov, scrapped 1970",2004,1943-04-09,1943-04-28,Pskov,George L. Shoup,Oregon Shipbuilding Corp,Cargo
1943-05-06,42.0,Scrapped 1961,1105,1943-03-25,1943-04-23,Cyrus W Field,Cyrus W. Field,Permanente Metals Co Yard,Cargo
1943-05-06,282.0,Scrapped 1968,1459,1942-07-28,1943-04-06,Samuel Gorton,Samuel Gorton,Walsh-Kaiser Co,Cargo
1943-05-06,39.0,Torpedoed and lost off Salerno 1943,977,1943-03-28,1943-04-26,William W Gerhard,William W. Gerhard,Bethlehem-Fairfield Shipyards,Cargo
1943-05-07,30.0,Scrapped 1975,1967,1943-04-07,1943-04-30,Joseph A Brown,Joseph A. Brown,North Carolina Shipbuilding Co,Cargo
1943-05-07,305.0,Scrapped 1967,1489,1942-07-06,1943-03-13,James M Wayne,James M. Wayne,J A Jones Construction Co (Brunswick),Cargo
1943-05-07,70.0,Scrapped 1969,339,1943-02-26,1943-04-26,Emily Dickinson,Emily Dickinson,New England Shipbuilding Corp,Cargo
1943-05-08,27.0,Scrapped 1962,2005,1943-04-11,1943-04-30,Ignatius Donnelly,Ignatius L. Donnelly,Oregon Shipbuilding Corp,Cargo
1943-05-08,41.0,"To U.S. Navy as Etamin (AK-93), torpedoed from the air off New Guinea 1944, repaired, scrapped 1949",1106,1943-03-28,1943-04-25,Etamin,Isaac Babbitt,Permanente Metals Co Yard,Cargo
1943-05-08,43.0,Scrapped 1966,975,1943-03-26,1943-04-29,Silas Weir Mitchell,Silas Weir Mitchell,Bethlehem-Fairfield Shipyards,Cargo
1943-05-08,36.0,"To U.S. Navy as Rutilicus (AK-113), scrapped 1972",1643,1943-04-02,1943-04-26,Rutilicus,Andrew Rowan,California Shipbuilding Corp,Cargo
1943-05-08,53.0,Scrapped 1971,1042,1943-03-16,1943-04-21,James E Howard,James E. Howard,Delta Shipbuilding Co,Cargo
1943-05-08,63.0,Scrapped 1964,845,1943-03-06,1943-04-17,David G Burnet,David G. Burnet,Todd Houston Shipbuilding Corp,Cargo
1943-05-09,43.0,"Sold private 1947, sunk 1950",539,1943-03-27,1943-04-24,Anson Burlingame,Anson Burlingame,Permanente Metals Co Yard,Cargo
1943-05-10,35.0,"Sold private 1947, sunk 1962",1644,1943-04-05,1943-04-27,Thomas Hill,Thomas Hill,California Shipbuilding Corp,Cargo
1943-05-10,40.0,"To Russia 1943 as Orel, later Ivan Polzunov, scrapped 1973",1107,1943-03-31,1943-04-27,Orel,Charles E. Duryea,Permanente Metals Co Yard,Cargo
1943-05-10,44.0,"Sold private 1947, scrapped 1966",976,1943-03-27,1943-04-30,Joseph Leidy,Joseph Leidy,Bethlehem-Fairfield Shipyards,Cargo
1943-05-10,27.0,Scrapped 1961,2006,1943-04-13,1943-05-02,Robert Newell,Robert Newell,Oregon Shipbuilding Corp,Cargo
1943-05-11,39.0,Scrapped 1958,1108,1943-04-02,1943-04-30,Benjamin Holt,Benjamin Holt,Permanente Metals Co Yard,Cargo
1943-05-11,31.0,"Torpedoed in the Arabian Sea 1943, refloated and repaired, RN training ship in Bombay 1945, scrapped 1949",1968,1943-04-10,1943-05-04,Robert F Hoke,Robert F. Hoke,North Carolina Shipbuilding Co,Cargo
1943-05-11,35.0,Reefed off South Padre Island TX 1975,1645,1943-04-06,1943-04-28,Edward W Scripps,Edward W. Scripps,California Shipbuilding Corp,Cargo
1943-05-11,151.0,Scrapped 1971,348,1942-12-11,1943-03-28,Robert M T Hunter,Robert M. T. Hunter,Southeastern Shipbuilding Corp,Cargo
1943-05-12,28.0,Scrapped 1970,2007,1943-04-14,1943-05-04,Stanford Newel,Stanford Newel,Oregon Shipbuilding Corp,Cargo
1943-05-12,42.0,Exploded and lost after collision off Cape Henry 1943,978,1943-03-31,1943-05-04,John Morgan,John Morgan,Bethlehem-Fairfield Shipyards,Cargo
1943-05-12,65.0,"To U.S. Navy as Pavo (AK-139), scrapped 1972",846,1943-03-08,1943-04-23,Pavo,James S. Hogg,Todd Houston Shipbuilding Corp,Cargo
1943-05-12,55.0,Scrapped 1960,1041,1943-03-18,1943-04-24,Henry S Foote,Henry S. Foote,Delta Shipbuilding Co,Cargo
1943-05-13,27.0,"To Russia 1943 as Kuban, scrapped 1971",2008,1943-04-16,1943-05-05,Kuban,William G. T'Vault,Oregon Shipbuilding Corp,Cargo
1943-05-13,36.0,Scrapped 1962,1646,1943-04-07,1943-04-30,Benjamin D Wilson,Benjamin D. Wilson,California Shipbuilding Corp,Cargo
1943-05-14,31.0,"Sold private 1947, scrapped 1967",1969,1943-04-13,1943-05-07,Ole Bull,Sallie Southall Cotten,North Carolina Shipbuilding Co,Cargo
1943-05-14,45.0,Scrapped 1961,540,1943-03-30,1943-04-29,Louis Hennepin,Louis Hennepin,Permanente Metals Co Yard,Cargo
1943-05-14,69.0,Scrapped 1964,801,1943-03-06,1943-05-05,Thomas W Hyde,Thomas W. Hyde,New England Shipbuilding Corp,Cargo
1943-05-14,40.0,Scrapped 1959,1109,1943-04-04,1943-05-02,Oliver Evans,Oliver Evans,Permanente Metals Co Yard,Cargo
1943-05-15,27.0,Scrapped 1961,2009,1943-04-18,1943-05-07,William H Gray,William H. Gray,Oregon Shipbuilding Corp,Cargo
1943-05-15,40.0,Wrecked and lost 1946,980,1943-04-05,1943-05-07,William H Webb,William H. Webb,Bethlehem-Fairfield Shipyards,Cargo
1943-05-15,35.0,"To Russia 1944 as Suchan, later Partizansk, scrapped 1977",1647,1943-04-10,1943-05-02,Jose Sepulveda,José Sepúlveda,California Shipbuilding Corp,Cargo
1943-05-16,31.0,Scrapped 1964,1970,1943-04-15,1943-05-10,John Owen,John Owen,North Carolina Shipbuilding Co,Cargo
1943-05-16,34.0,Damaged in typhoon 1945 and scrapped 1947,1648,1943-04-12,1943-05-04,Ignace Paderewski,Ignace Paderewski,California Shipbuilding Corp,Cargo
1943-05-16,39.0,Scrapped 1964,1110,1943-04-07,1943-05-05,Elisha Graves Otis,Elisha Graves Otis,Permanente Metals Co Yard,Cargo
1943-05-17,27.0,"To Russia 1943 as Novorossisk, scrapped 1974",2010,1943-04-20,1943-05-09,Novorossisk,Edward Eggleston,Oregon Shipbuilding Corp,Cargo
1943-05-17,61.0,Scrapped 1973,847,1943-03-17,1943-04-30,Jane Long,Jane Long,Todd Houston Shipbuilding Corp,Cargo
1943-05-17,70.0,Scrapped 1967,786,1943-03-08,1943-05-03,Asa Gray,Asa Gray,New England Shipbuilding Corp,Cargo
1943-05-18,39.0,Scrapped 1972,1111,1943-04-09,1943-05-06,Knute Rockne,Knute Rockne,Permanente Metals Co Yard,Cargo
1943-05-18,35.0,Scrapped 1965,1649,1943-04-13,1943-05-05,Charles Lummis,Charles Lummis,California Shipbuilding Corp,Cargo
1943-05-18,26.0,"Sold private 1947, scrapped 1968",2011,1943-04-22,1943-05-10,Thomas A Hendricks,Thomas A. Hendricks,Oregon Shipbuilding Corp,Cargo
1943-05-19,43.0,"Kamikazied 1945, repaired, scrapped 1961",541,1943-04-06,1943-04-30,Josiah Snelling,Josiah Snelling,Permanente Metals Co Yard,Cargo
1943-05-19,35.0,Scrapped 1964,1650,1943-04-14,1943-05-07,Jedediah S Smith,Jedediah S. Smith,California Shipbuilding Corp,Cargo
1943-05-19,51.0,"Exploded in Bari 1945, scrapped 1948",1043,1943-03-29,1943-05-01,Charles Henderson,Charles Henderson,Delta Shipbuilding Co,Cargo
1943-05-19,31.0,"Sold private 1947, scrapped 1969",1971,1943-04-18,1943-05-13,Philip Doddridge,Philip Doddridge,North Carolina Shipbuilding Co,Cargo
1943-05-20,241.0,Scrapped 1965,1522,1942-09-21,1943-04-22,William J Bryan,William J. Bryan,J A Jones Construction Co (Panama City),Cargo
1943-05-20,38.0,Scrapped 1964,1112,1943-04-12,1943-05-08,James J Corbett,James J. Corbett,Permanente Metals Co Yard,Cargo
1943-05-20,42.0,Scrapped 1970,982,1943-04-08,1943-05-11,Stevenson Taylor,Stevenson Taylor,Bethlehem-Fairfield Shipyards,Cargo
1943-05-20,39.0,"To U.S. Navy as Mindanao (ARG-3), damaged and repaired 1944, reefed off Daytona Beach FL 1980",983,1943-04-11,1943-05-13,Mindano,Elbert Hubbard,Bethlehem-Fairfield Shipyards,Cargo
1943-05-20,27.0,"To U.S. Navy as Talita (AKS-8), scrapped 1964",2012,1943-04-23,1943-05-12,Talita,Jonathan Jennings,Oregon Shipbuilding Corp,Cargo
1943-05-21,35.0,Scrapped 1967,1651,1943-04-16,1943-05-08,Josiah Nelson Cushing,Josiah Nelson Cushing,California Shipbuilding Corp,Cargo
1943-05-21,31.0,"Sold private 1947, scrapped 1967",1972,1943-04-20,1943-05-15,John Grier Hibben,John Grier Hibben,North Carolina Shipbuilding Co,Cargo
1943-05-21,74.0,"Sold private 1947, sunk 1963",787,1943-03-08,1943-05-03,Mary Lyon,Mary Lyon,New England Shipbuilding Corp,Cargo
1943-05-21,62.0,Scrapped 1966,848,1943-03-20,1943-05-04,James B Bonham,James B. Bonham,Todd Houston Shipbuilding Corp,Cargo
1943-05-21,37.0,Scrapped 1960,985,1943-04-14,1943-05-12,Charles A McAllister,Charles A. McAllister,Bethlehem-Fairfield Shipyards,Cargo
1943-05-22,53.0,Scrapped 1960,1039,1943-03-30,1943-05-01,F T Frelinghuysen,F. T. Frelinghuysen,Delta Shipbuilding Co,Cargo
1943-05-22,27.0,Scrapped 1961,2013,1943-04-25,1943-05-14,George W Julian,George W. Julian,Oregon Shipbuilding Corp,Cargo
1943-05-22,115.0,Scrapped 1960,350,1943-01-27,1943-04-22,John C Breckinridge,John C. Breckinridge,Southeastern Shipbuilding Corp,Cargo
1943-05-22,38.0,Torpedoed and lost in the Indian Ocean 1944,1113,1943-04-14,1943-05-10,Walter Camp,Walter Camp,Permanente Metals Co Yard,Cargo
1943-05-22,175.0,Scrapped 1970,1461,1942-11-28,1943-04-22,Lyman Abbot,Lyman Abbott,Walsh-Kaiser Co,Cargo
1943-05-22,142.0,Scrapped 1969,349,1942-12-31,1943-04-10,Crawford W Long,Crawford W. Long,Southeastern Shipbuilding Corp,Cargo
1943-05-22,68.0,Scrapped 1960,340,1943-03-15,1943-05-13,Eugene Field,Eugene Field,New England Shipbuilding Corp,Cargo
1943-05-23,36.0,Scrapped 1962,1652,1943-04-17,1943-05-10,John Burroughs,John Burroughs,California Shipbuilding Corp,Cargo
1943-05-24,46.0,"To U.S. Navy as Luzon (ARG-2), scrapped 1974",981,1943-04-08,1943-05-14,Luzon,Samuel Bowles,Bethlehem-Fairfield Shipyards,Cargo
1943-05-24,42.0,"To U.S. Army as hospital ship Dogwood, scrapped 1964",542,1943-04-12,1943-05-07,Dogwood,George Washington Carver,Permanente Metals Co Yard,Cargo
1943-05-24,27.0,Scrapped 1964,2014,1943-04-27,1943-05-16,Henry S Lane,Henry S. Lane,Oregon Shipbuilding Corp,Cargo
1943-05-24,36.0,Scrapped 1965,1653,1943-04-18,1943-05-11,Charles Crocker,Charles Crocker,California Shipbuilding Corp,Cargo
1943-05-24,31.0,"Sold private 1947, scrapped 1968",1973,1943-04-23,1943-05-18,Kemp P Battle,Kemp P. Battle,North Carolina Shipbuilding Co,Cargo
1943-05-24,268.0,Scrapped 1967,1194,1942-08-29,1943-03-27,John Gorrie,John Gorrie,St Johns River Shipbuilding Co,Cargo
1943-05-24,38.0,Sunk by air attack off Mindoro 1944,1114,1943-04-16,1943-05-12,Hobart Baker,Hobart Baker,Permanente Metals Co Yard,Cargo
1943-05-25,48.0,Scrapped 1969,1044,1943-04-07,1943-05-10,Robert Lowry,Robert Lowry,Delta Shipbuilding Co,Cargo
1943-05-26,28.0,Scrapped 1967,2015,1943-04-28,1943-05-18,James Oliver,James Oliver,Oregon Shipbuilding Corp,Cargo
1943-05-26,79.0,Scrapped 1962,788,1943-03-08,1943-05-03,Henry Wilson,Henry Wilson,New England Shipbuilding Corp,Cargo
1943-05-26,43.0,Wrecked and abandoned 1947,984,1943-04-13,1943-05-16,John E Schmeltzer,John E. Schmeltzer,Bethlehem-Fairfield Shipyards,Cargo
1943-05-26,38.0,Scrapped 1960,1115,1943-04-18,1943-05-14,Christy Mathewson,Christy Mathewson,Permanente Metals Co Yard,Cargo
1943-05-26,55.0,Scrapped 1965,979,1943-04-01,1943-05-02,James R Randall,James R. Randall,Bethlehem-Fairfield Shipyards,Cargo
1943-05-26,54.0,"Sold private 1947, damaged and scrapped 1967",1654,1943-04-02,1943-05-13,John S Casement,John S. Casement,California Shipbuilding Corp,Cargo
1943-05-27,27.0,"Sold private 1947, scrapped 1967",2016,1943-04-30,1943-05-19,Eric V Hauser,Eric V. Hauser,Oregon Shipbuilding Corp,Cargo
1943-05-27,31.0,"Sold private 1947, mined off Rijeka and sunk, 1947",1974,1943-04-26,1943-05-21,Robert Dale Owen,Robert Dale Owen,North Carolina Shipbuilding Co,Cargo
1943-05-27,49.0,Scrapped 1963,1552,1943-04-08,1943-05-10,James A Bayard,James A. Bayard,Permanente Metals Co Yard,Cargo
1943-05-27,39.0,"Sold private 1947, scrapped 1969",987,1943-04-18,1943-05-17,Haym Salomon,Haym Salomon,Bethlehem-Fairfield Shipyards,Cargo
1943-05-27,41.0,Bombed and lost in Bari 1943,986,1943-04-16,1943-05-18,John L Motley,John Lothrop Motley,Bethlehem-Fairfield Shipyards,Cargo
1943-05-27,58.0,"Sold private 1947, wrecked and lost 1966",849,1943-03-30,1943-05-12,James W Fannin,James W. Fannin,Todd Houston Shipbuilding Corp,Cargo
1943-05-27,34.0,Scrapped 1961,1655,1943-04-23,1943-05-14,P T Barnum,P. T. Barnum,California Shipbuilding Corp,Cargo
1943-05-28,37.0,Scrapped 1971,1116,1943-04-21,1943-05-16,George Gipp,George Gipp,Permanente Metals Co Yard,Cargo
1943-05-29,35.0,"To U.S. Navy as Bootes (AK-99), scrapped 1973",1656,1943-04-24,1943-05-16,Thomas Oliver Larkin,Thomas Oliver Larkin,California Shipbuilding Corp,Cargo
1943-05-29,48.0,Scrapped 1971,1048,1943-04-11,1943-05-17,Julien Poydras,Julien Poydras,Delta Shipbuilding Co,Cargo
1943-05-29,27.0,Scrapped 1960,2017,1943-05-02,1943-05-21,R C Brennan,R. C. Brennan,Oregon Shipbuilding Corp,Cargo
1943-05-29,31.0,Scrapped 1971,1975,1943-04-28,1943-05-23,John P Mitchell,John P. Mitchel,North Carolina Shipbuilding Co,Cargo
1943-05-29,34.0,Reefed off Port Mansfield TX 1976,990,1943-04-25,1943-05-21,Conrad Weiser,Conrad Weiser,Bethlehem-Fairfield Shipyards,Cargo
1943-05-30,43.0,Scrapped 1967,1045,1943-04-17,1943-05-18,George Poindexter,George Poindexter,Delta Shipbuilding Co,Cargo
1943-05-30,37.0,Scrapped 1960,1117,1943-04-23,1943-05-18,Matthew B Brady,Mathew B. Brady,Permanente Metals Co Yard,Cargo
1943-05-30,34.0,"To U.S. Navy as Lynx (AK-100), scrapped 1972",1657,1943-04-26,1943-05-18,Lynx,Juan Bautista de Anza,California Shipbuilding Corp,Cargo
1943-05-30,59.0,"Sold private 1947, scrapped 1969",850,1943-04-01,1943-05-14,Anson Jones,Anson Jones,Todd Houston Shipbuilding Corp,Cargo
1943-05-31,34.0,Torpedoed and lost off Bizerta 1943,991,1943-04-27,1943-05-21,Christian Michelsen,John M. T. Finney,Bethlehem-Fairfield Shipyards,Cargo
1943-05-31,110.0,Scrapped 1968,351,1943-02-10,1943-05-02,Button Gwinnett,Button Gwinnett,Southeastern Shipbuilding Corp,Cargo
1943-05-31,314.0,Torpedoed and lost off Palermo 1944,1490,1942-07-21,1943-04-07,William B Woods,William B. Woods,J A Jones Construction Co (Brunswick),Cargo
1943-05-31,55.0,Mined and lost off Normandy 1944,789,1943-04-06,1943-05-24,Charles W Eliot,Charles W. Eliot,New England Shipbuilding Corp,Cargo
1943-05-31,38.0,Torpedoed and lost in the Atlantic 1943,988,1943-04-23,1943-05-22,Frederick Douglass,Frederick Douglass,Bethlehem-Fairfield Shipyards,Cargo
1943-05-31,27.0,Scrapped 1971,2018,1943-05-04,1943-05-23,Francis E Warren,Francis E. Warren,Oregon Shipbuilding Corp,Cargo
1943-05-31,36.0,"Sold private 1947, scrapped 1967",1118,1943-04-25,1943-05-20,Edward A MacDowell,Edward A. MacDowell,Permanente Metals Co Yard,Cargo
1943-05-31,55.0,"Sold private 1947, scrapped 1969",851,1943-04-06,1943-05-17,Frederick L Dau,Frederick L. Dau,Todd Houston Shipbuilding Corp,Cargo
1943-05-31,245.0,Scrapped 1960,1523,1942-09-28,1943-05-03,Joseph M Medill,Joseph M. Medill,J A Jones Construction Co (Panama City),Cargo
1943-05-31,63.0,Scrapped 1970,802,1943-03-29,1943-05-22,George F Patten,George F. Patten,New England Shipbuilding Corp,Cargo
1943-05-31,30.0,Mined and lost off Belgium 1945,1976,1943-05-01,1943-05-25,Charles D McIver,Charles D. McIver,North Carolina Shipbuilding Co,Cargo
1943-05-31,44.0,"To Russia 1943 as Odessa, still afloat as a storage facility in Vladivostok",1553,1943-04-17,1943-05-16,Odessa,Mary Cassatt,Permanente Metals Co Yard,Cargo
1943-05-31,37.0,Sold private 1952 and converted to a floating gas storage depot,989,1943-04-24,1943-05-24,Edvard Grieg,Thomas F. Bayard,Bethlehem-Fairfield Shipyards,Cargo
1943-05-31,34.0,Scrapped 1970,1658,1943-04-27,1943-05-20,Lyman Stewart,Lyman Stewart,California Shipbuilding Corp,Cargo
1943-06-02,28.0,Scrapped 1962,2019,1943-05-05,1943-05-25,George Davidson,George Davidson,Oregon Shipbuilding Corp,Cargo
1943-06-03,27.0,"To Russia 1943 as Kherson, wrecked and scrapped 1943",2020,1943-05-07,1943-05-27,Kherson,Joseph C. Avery,Oregon Shipbuilding Corp,Cargo
1943-06-04,37.0,Scrapped 1959,1659,1943-04-28,1943-05-22,John Alden,John Alden,California Shipbuilding Corp,Cargo
1943-06-04,30.0,"Sold private 1947, scrapped 1966",1977,1943-05-05,1943-05-29,John M Morehead,John M. Morehead,North Carolina Shipbuilding Co,Cargo
1943-06-04,37.0,Broke up and scuttled in the Atlantic 1944,1119,1943-04-28,1943-05-22,Joseph Smith,Joseph Smith,Permanente Metals Co Yard,Cargo
1943-06-05,36.0,"Sold private 1947, scrapped 1970",1120,1943-04-30,1943-05-25,Tecumseh,Tecumseh,Permanente Metals Co Yard,Cargo
1943-06-05,48.0,Scrapped 1962,1554,1943-04-18,1943-05-19,Michael Pupin,Michael Pupin,Permanente Metals Co Yard,Cargo
1943-06-05,27.0,"To Russia 1943 as Vitebsk, scrapped 1972",2021,1943-05-09,1943-05-28,Vitebsk,John Minto,Oregon Shipbuilding Corp,Cargo
1943-06-05,266.0,Mined and lost off Belgium 1944,1195,1942-09-12,1943-04-17,Francis Asbury,Francis Asbury,St Johns River Shipbuilding Co,Cargo
1943-06-06,37.0,"Sold private 1947, scrapped 1968",1660,1943-04-30,1943-05-23,Clarence Darrow,Clarence Darrow,California Shipbuilding Corp,Cargo
1943-06-06,29.0,Scrapped 1972,1978,1943-05-08,1943-05-31,Hannis Taylor,Hannis Taylor,North Carolina Shipbuilding Co,Cargo
1943-06-07,62.0,Scrapped 1967,790,1943-04-06,1943-05-24,Harriet Beecher Stowe,Harriet Beecher Stowe,New England Shipbuilding Corp,Cargo
1943-06-07,28.0,"To Russia 1943 as Vladivostok, later Uelen, scrapped 1976",2022,1943-05-10,1943-05-30,Vladivostok,Pleasant M. Armstrong,Oregon Shipbuilding Corp,Cargo
1943-06-07,36.0,"To U.S. Navy 1957 as YAG-37, scrapped 1958",1121,1943-05-02,1943-05-26,John L Sullivan,John L. Sullivan,Permanente Metals Co Yard,Cargo
1943-06-08,57.0,Reefed off the Virginia Capes 1976,852,1943-04-12,1943-05-24,James E Haviland,James E. Haviland,Todd Houston Shipbuilding Corp,Cargo
1943-06-08,37.0,Scrapped 1971,1661,1943-05-02,1943-05-25,Charles D Poston,Charles D. Poston,California Shipbuilding Corp,Cargo
1943-06-09,36.0,"Sold private 1947, scrapped 1969",1662,1943-05-04,1943-05-27,Josiah Earl,Josiah Earl,California Shipbuilding Corp,Cargo
1943-06-09,40.0,Scrapped 1970,992,1943-04-30,1943-05-28,Louisa M Alcott,Louisa M. Alcott,Bethlehem-Fairfield Shipyards,Cargo
1943-06-09,298.0,Scrapped 1961,1460,1942-08-15,1943-04-29,James De Wolf,James De Wolf,Walsh-Kaiser Co,Cargo
1943-06-09,35.0,Scrapped 1960,1122,1943-05-05,1943-05-29,Geronimo,Geronimo,Permanente Metals Co Yard,Cargo
1943-06-09,28.0,Scrapped 1964,2023,1943-05-12,1943-06-01,Wilson P Hunt,Wilson P. Hunt,Oregon Shipbuilding Corp,Cargo
1943-06-10,35.0,Scrapped 1960,1566,1943-05-06,1943-05-30,Irving M Scott,Irving M. Scott,Permanente Metals Co Yard,Cargo
1943-06-10,46.0,"To U.S. Navy as Lyra (AK-101), scrapped 1967",1555,1943-04-25,1943-05-24,Lyra,Cyrus Hamlin,Permanente Metals Co Yard,Cargo
1943-06-10,30.0,"To U.S. Navy as YAG 1955, scrapped 1972",1979,1943-05-11,1943-06-04,Edward Richardson,Edward Richardson,North Carolina Shipbuilding Co,Cargo
1943-06-10,38.0,"Sold private 1947, scrapped 1971",994,1943-05-03,1943-05-30,Joseph H Nicholson,Joseph H. Nicholson,Bethlehem-Fairfield Shipyards,Cargo
1943-06-11,50.0,Scrapped 1959,1050,1943-04-22,1943-05-24,Joseph N Nicollet,Joseph N. Nicollet,Delta Shipbuilding Co,Cargo
1943-06-11,57.0,Scrapped 1963,853,1943-04-15,1943-05-27,Edward Burleson,Edward Burleson,Todd Houston Shipbuilding Corp,Cargo
1943-06-11,36.0,Scrapped 1965,1663,1943-05-06,1943-05-28,Franklin K Lane,Franklin K. Lane,California Shipbuilding Corp,Cargo
1943-06-11,28.0,Scrapped 1958,2024,1943-05-14,1943-06-03,Ben Holladay,Ben Holladay,Oregon Shipbuilding Corp,Cargo
1943-06-12,110.0,Scrapped 1965,352,1943-02-22,1943-05-12,Felix Grundy,Felix Grundy,Southeastern Shipbuilding Corp,Cargo
1943-06-12,38.0,"Sold private 1947, scrapped 1970",995,1943-05-05,1943-06-01,Thomas Nelson Page,Thomas Nelson Page,Bethlehem-Fairfield Shipyards,Cargo
1943-06-12,35.0,"To U.S. Navy as Kenmore (AP-162), scrapped 1973",1664,1943-05-08,1943-05-30,Kenmore,James H. McClintock,California Shipbuilding Corp,Cargo
1943-06-12,64.0,Scrapped 1969,803,1943-04-09,1943-06-03,William Pepperell,William Pepperrell,New England Shipbuilding Corp,Cargo
1943-06-13,36.0,Scrapped 1960,1567,1943-05-08,1943-05-31,Joseph S Emery,Joseph S. Emery,Permanente Metals Co Yard,Cargo
1943-06-13,28.0,Scrapped 1964,2025,1943-05-16,1943-06-05,Joel Palmer,Joel Palmer,Oregon Shipbuilding Corp,Cargo
1943-06-14,56.0,Scrapped 1964,854,1943-04-19,1943-05-29,Lorenzo DeZavala,Lorenzo De Zavala,Todd Houston Shipbuilding Corp,Cargo
1943-06-14,36.0,Scrapped 1970,1665,1943-05-09,1943-05-31,Jacob S Mansfield,Jacob S. Mansfield,California Shipbuilding Corp,Cargo
1943-06-14,46.0,Wrecked and lost on the Farallons 1944,1556,1943-04-29,1943-05-28,Henry Bergh,Henry Bergh,Permanente Metals Co Yard,Cargo
1943-06-14,31.0,Reefed off Alabama 1975,1980,1943-05-14,1943-06-08,William T Barry,William T. Barry,North Carolina Shipbuilding Co,Cargo
1943-06-14,35.0,Scrapped 1960,1568,1943-05-10,1943-06-02,George Berkeley,George Berkeley,Permanente Metals Co Yard,Cargo
1943-06-15,36.0,Scuttled with obsolete ammo 1970,1666,1943-05-10,1943-05-31,David E Hughes,David E. Hughes,California Shipbuilding Corp,Cargo
1943-06-15,38.0,Scrapped 1972,996,1943-05-08,1943-06-02,James McCosh,James McCosh,Bethlehem-Fairfield Shipyards,Cargo
1943-06-15,28.0,Scrapped 1972,2026,1943-05-18,1943-06-07,Thomas Nuttall,Thomas Nuttall,Oregon Shipbuilding Corp,Cargo
1943-06-16,35.0,"Sold private 1947, scrapped 1973",997,1943-05-12,1943-06-06,Albert C Ritchie,Albert C. Ritchie,Bethlehem-Fairfield Shipyards,Cargo
1943-06-16,28.0,Torpedoed and lost in the Pacific 1944,2027,1943-05-19,1943-06-08,John A Johnson,John A. Johnson,Oregon Shipbuilding Corp,Cargo
1943-06-16,35.0,Scrapped 1961,1569,1943-05-12,1943-06-04,Adolph Sutro,Adolph Sutro,Permanente Metals Co Yard,Cargo
1943-06-17,34.0,Scrapped 1969,1570,1943-05-14,1943-06-06,John W Mackay,John W. Mackay,Permanente Metals Co Yard,Cargo
1943-06-17,37.0,Scrapped 1965,1667,1943-05-11,1943-06-02,Billy Mitchell,Billy Mitchell,California Shipbuilding Corp,Cargo
1943-06-17,63.0,Scrapped 1968,791,1943-04-15,1943-06-07,Eugene Hale,Eugene Hale,New England Shipbuilding Corp,Cargo
