Name,Type,Hull_Number,Shipyard,Laid_Down,Launched,Completed,Difference,Namesake,Fate
Cetus,Cargo,445,Permanente Metals Co Yard,1942-11-21,1942-12-26,1943-01-04,44.0,George B. Cortelyou,"To U.S. Navy as Cetus (AK-77), scrapped 1972"
M M Guhin,Cargo,615,Oregon Shipbuilding Corp,1942-12-05,1942-12-28,1943-01-05,31.0,Michael M. Guhin,Scrapped 1973
James Madison,Cargo,274,Todd Houston Shipbuilding Corp,1942-10-28,1942-12-21,1943-01-06,70.0,James Madison,Scrapped 1966
Frederick Jackson Turner,Cargo,446,Permanente Metals Co Yard,1942-11-24,1942-12-28,1943-01-06,43.0,Frederick Jackson Turner,Scrapped 1962
Hugh S Legare,Cargo,685,California Shipbuilding Corp,1942-11-18,1942-12-22,1943-01-06,49.0,Hugh S. Legaré,Scrapped 1959
Lindley M Garrison,Cargo,616,Oregon Shipbuilding Corp,1942-12-07,1942-12-31,1943-01-07,31.0,Lindley M. Garrison,Scrapped 1961
James J Pettigrew,Cargo,874,North Carolina Shipbuilding Co,1942-11-24,1942-12-24,1943-01-07,44.0,James J. Pettigrew,Scrapped 1960-
James Buchanan,Cargo,686,California Shipbuilding Corp,1942-11-21,1942-12-23,1943-01-08,48.0,James Buchanan,"Sold private 1947, scrapped 1969"
John M Clayton,Cargo,687,California Shipbuilding Corp,1942-11-23,1942-12-27,1943-01-08,46.0,John M. Clayton,"Bombed off Mindoro 1945, beached and repaired, to U.S. Navy as Harcourt (IX-225), scrapped 1962"
John W Weeks,Cargo,617,Oregon Shipbuilding Corp,1942-12-09,1943-01-02,1943-01-09,31.0,John W. Weeks,"To U.S. Navy 1951 as DuPage (APB-51), scrapped 1959"
William L Marcy,Cargo,688,California Shipbuilding Corp,1942-11-25,1942-12-28,1943-01-10,46.0,William L. Marcy,"Torpedoed in the English Channel 1944, refloated, scuttled with surplus ammo 1948"
Joseph G Cannon,Cargo,447,Permanente Metals Co Yard,1942-11-28,1942-12-31,1943-01-10,43.0,Joseph G. Cannon,"Bombed off Sicily 1943, repaired, scrapped 1972"
Daniel H Hill,Cargo,875,North Carolina Shipbuilding Co,1942-11-27,1942-12-27,1943-01-10,44.0,Daniel H. Hill,Scrapped 1964
David G Farragut,Cargo,317,Delta Shipbuilding Co,1942-11-07,1942-12-23,1943-01-11,65.0,David G. Farragut,Scrapped 1971
George S Boutwell,Cargo,514,Permanente Metals Co Yard,1942-11-30,1942-12-31,1943-01-11,42.0,George S. Boutwell,"Sold private 1947, scrapped 1964"
Willard Hall,Cargo,930,Bethlehem-Fairfield Shipyards,1942-11-29,1942-12-28,1943-01-11,43.0,Willard Hall,Scrapped 1966
Lewis Cass,Cargo,689,California Shipbuilding Corp,1942-11-27,1942-12-29,1943-01-12,46.0,Lewis Cass,Wrecked and abandoned off Mexico 1943
Deimos,Cargo,513,Permanente Metals Co Yard,1942-11-27,1942-12-28,1943-01-12,46.0,Chief Ouray,"To U.S. Navy as Deimos (AK-78), torpedoed and scuttled off Guadalcanal 1943"
Stephen B Elkins,Cargo,618,Oregon Shipbuilding Corp,1942-12-11,1943-01-05,1943-01-12,32.0,Stephen B. Elkins,Scrapped 1961
George Rogers Clark,Cargo,448,Permanente Metals Co Yard,1942-11-29,1943-01-02,1943-01-13,45.0,George Rogers Clark,"Sold private 1947, scrapped 1963"
George Davis,Cargo,876,North Carolina Shipbuilding Co,1942-11-29,1942-12-30,1943-01-13,45.0,George Davis,Scrapped 1960
Jeremiah S Black,Cargo,690,California Shipbuilding Corp,1942-11-28,1942-12-30,1943-01-13,46.0,Jeremiah S. Black,Scrapped 1963
Champ Clark,Cargo,118,Todd Houston Shipbuilding Corp,1942-11-02,1942-12-30,1943-01-14,73.0,Champ Clark,Scrapped 1958
Daniel S Lamont,Cargo,619,Oregon Shipbuilding Corp,1942-12-13,1943-01-07,1943-01-14,32.0,Daniel S. Lamont,Scrapped 1966
Pat Harrison,Cargo,143,Delta Shipbuilding Co,1942-11-08,1942-12-24,1943-01-15,68.0,Pat Harrison,"Mined off Gibraltar 1943, declared total loss, scrapped 1951"
Woodbridge N Ferris,Cargo,931,Bethlehem-Fairfield Shipyards,1942-12-02,1942-12-28,1943-01-15,44.0,Woodbridge N. Ferris,Sold private 1956 and converted to crane ship
Benjamin H Bristow,Cargo,515,Permanente Metals Co Yard,1942-12-07,1943-01-04,1943-01-15,39.0,Benjamin H. Bristow,Scrapped 1969
John Murray Forbes,Cargo,770,New England Shipbuilding Corp,1942-09-29,1942-11-26,1943-01-16,109.0,John Murray Forbes,Scrapped 1967
Alexander J Dallas,Cargo,620,Oregon Shipbuilding Corp,1942-12-15,1943-01-09,1943-01-16,32.0,Alexander J. Dallas,Scrapped 1966
Elihu B Washburne,Cargo,691,California Shipbuilding Corp,1942-12-01,1942-12-31,1943-01-16,46.0,Elihu B. Washburne,Torpedoed and lost off Brazil 1943
Joseph T Robinson,Cargo,119,Todd Houston Shipbuilding Corp,1942-11-17,1943-01-06,1943-01-16,60.0,Joseph T. Robinson,Scrapped 1967
Walter Raleigh,Cargo,877,North Carolina Shipbuilding Co,1942-12-01,1943-01-05,1943-01-16,46.0,Walter Raleigh,Scrapped 1967
Louis Joliet,Cargo,449,Permanente Metals Co Yard,1942-12-02,1943-01-06,1943-01-16,45.0,Louis Joliet,"Sold private 1947, scrapped 1968"
Harrison Gray Otis,Cargo,692,California Shipbuilding Corp,1942-12-04,1943-01-03,1943-01-17,44.0,Harrison Gray Otis,"Mined in Gibraltar 1943 and beached, scrapped 1949"
Anne Bradstreet,Cargo,336,New England Shipbuilding Corp,1942-10-06,1942-12-27,1943-01-18,104.0,Anne Bradstreet,"Sold private 1947, scrapped 19"
Richard Rush,Cargo,621,Oregon Shipbuilding Corp,1942-12-17,1943-01-11,1943-01-18,32.0,Richard Rush,Scrapped 1961
James Woodrow,Cargo,929,Bethlehem-Fairfield Shipyards,1942-11-26,1943-01-09,1943-01-19,54.0,James Woodrow,"Wrecked 1946, declared total loss, scrapped 1954"
John Harvey,Cargo,878,North Carolina Shipbuilding Co,1942-12-06,1943-01-09,1943-01-19,44.0,John Harvey,"Bombed in Bari 1943, scrapped 1948"
William Windom,Cargo,516,Permanente Metals Co Yard,1942-12-11,1943-01-08,1943-01-19,39.0,William Windom,Scrapped 1964
Augustine Heard,Cargo,771,New England Shipbuilding Corp,1942-09-29,1942-11-26,1943-01-20,113.0,Augustine Heard,"Sold private 1947, scrapped 1968"
Francisco Coronado,Cargo,1748,Kaiser Co,1942-11-18,1943-01-11,1943-01-20,63.0,Francisco Vásquez de Coronado,"Grain stroage 1950s, sold 9 March 1959"
Samuel de Champlain,Cargo,450,Permanente Metals Co Yard,1942-12-08,1943-01-10,1943-01-20,43.0,Samuel de Champlain,"Sold private 1947, scrapped 1968"
William L Smith,Cargo,275,Todd Houston Shipbuilding Corp,1942-11-12,1943-01-06,1943-01-20,69.0,William L. Smith,Scrapped 1964
Joseph H Hollister,Cargo,693,California Shipbuilding Corp,1942-12-07,1943-01-05,1943-01-20,44.0,Joseph H. Hollister,Scrapped 1966
Leonidas Polk,Cargo,144,Delta Shipbuilding Co,1942-11-24,1943-01-07,1943-01-21,58.0,Leonidas Polk,Scrapped 1965
Samuel D Ingham,Cargo,622,Oregon Shipbuilding Corp,1942-12-19,1943-01-13,1943-01-22,34.0,Samuel D. Ingham,Scrapped 1962
Phoebe A Hearst,Cargo,694,California Shipbuilding Corp,1942-12-09,1943-01-07,1943-01-22,44.0,Phoebe A. Hearst,Torpedoed and lost near Fiji 1943
Juan de Fuca,Cargo,1747,Kaiser Co,1942-11-15,1943-01-11,1943-01-23,69.0,Juan de Fuca,Sold 3 March 1948
Robert Howe,Cargo,879,North Carolina Shipbuilding Co,1942-12-10,1943-01-13,1943-01-23,44.0,Robert Howe,Scrapped 1971
Charles J Folger,Cargo,517,Permanente Metals Co Yard,1942-12-15,1943-01-12,1943-01-24,40.0,Charles J. Folger,Scrapped 1960
George W Campbell,Cargo,623,Oregon Shipbuilding Corp,1942-12-22,1943-01-15,1943-01-24,33.0,George W. Campbell,"Sold private 1947, scrapped 1967"
Pere Marquette,Cargo,452,Permanente Metals Co Yard,1942-12-12,1943-01-14,1943-01-25,44.0,Pere Marquette,Scrapped 1971
Zane Grey,Cargo,695,California Shipbuilding Corp,1942-12-12,1943-01-09,1943-01-25,44.0,Zane Grey,Reefed off North Carolina 1974
Nathaniel Macon,Cargo,880,North Carolina Shipbuilding Co,1942-12-13,1943-01-17,1943-01-26,44.0,Nathaniel Macon,"Sold private 1947, wrecked 1952, CTL but repaired, scrapped 1969"
Pio Pico,Cargo,696,California Shipbuilding Corp,1942-12-13,1943-01-11,1943-01-26,44.0,Pio Pico,Scrapped 1960
William J Duane,Cargo,624,Oregon Shipbuilding Corp,1942-12-24,1943-01-17,1943-01-27,34.0,William J. Duane,Scrapped 1961
William C Gorgas,Cargo,745,Alabama Dry Dock Co,1942-11-11,1943-01-03,1943-01-27,77.0,William C. Gorgas,"Torpedoed and lost in the North Atlantic, 1943"
Alnitah,Cargo,451,Permanente Metals Co Yard,1942-12-10,1943-01-14,1943-01-27,48.0,John A. Logan,"To U.S. Navy as Alnitah (AK-127), scrapped 1961"
Thomas R Marshall,Cargo,933,Bethlehem-Fairfield Shipyards,1942-12-07,1943-01-15,1943-01-28,52.0,Thomas R. Marshall,Scrapped 1971
John Drake Sloat,Cargo,697,California Shipbuilding Corp,1942-12-17,1943-01-12,1943-01-28,42.0,John Drake Sloat,Scrapped 1960
Krasnogv Ardeets,Cargo,518,Permanente Metals Co Yard,1942-12-19,1943-01-17,1943-01-28,40.0,Charles S. Fairchild,"Sold private 1947, scrapped 1971"
Stephen C Foster,Cargo,276,Todd Houston Shipbuilding Corp,1942-11-17,1943-01-12,1943-01-28,72.0,Stephen C. Foster,Scrapped 1961
Robert M La Follette,Cargo,1024,Delta Shipbuilding Co,1942-11-27,1943-01-10,1943-01-29,63.0,Robert M. La Follette,"Sold private 1947, damaged in the India/Pakistan war 1971, scrapped 1972"
Philip Kearny,Cargo,1227,Marinship Corp,1942-08-10,1942-12-07,1943-01-29,172.0,Philip Kearny,Scrapped 1969
John Cabot,Cargo,1749,Kaiser Co,1942-11-21,1943-01-11,1943-01-29,69.0,John Cabot,Sold 15 January 1960
John Wright Stanly,Cargo,881,North Carolina Shipbuilding Co,1942-12-18,1943-01-19,1943-01-29,42.0,John Wright Stanly,"Sold private 1947, scrapped 1969"
Walter Q Gresham,Cargo,1025,Delta Shipbuilding Co,1942-12-04,1943-01-16,1943-01-30,57.0,Walter Q. Gresham,"Torpedoed and lost in the North Atlantic, 1943"
Lou Gehrig,Cargo,210,New England Shipbuilding Corp,1942-10-21,1943-01-17,1943-01-30,101.0,Lou Gehrig,Scrapped 1966
Volans,Cargo,772,New England Shipbuilding Corp,1942-10-19,1943-01-02,1943-01-30,103.0,Edward Preble,"To U.S. Navy as Volans (AKS-9), scrapped 1965"
John G Carlisle,Cargo,519,Permanente Metals Co Yard,1942-12-23,1943-01-23,1943-01-31,39.0,John G. Carlisle,Scrapped 1965
Carlos Carrillo,Cargo,698,California Shipbuilding Corp,1942-12-19,1943-01-15,1943-01-31,43.0,Carlos Carrillo,Scrapped 1963
William Eustis,Cargo,828,Todd Houston Shipbuilding Corp,1942-11-23,1943-01-21,1943-01-31,69.0,William Eustis,Torpedoed and lost in the North Atlantic 1943
Lawton B Evans,Cargo,746,Alabama Dry Dock Co,1942-11-18,1943-01-13,1943-01-31,74.0,Lawton Bryan Evans,Scrapped 1960
Draco,Cargo,453,Permanente Metals Co Yard,1942-12-15,1943-01-19,1943-01-31,47.0,John M. Palmer,"To U.S. Navy as Draco (AK-79), sold private 1947, scrapped 1968"
Francis Nash,Cargo,882,North Carolina Shipbuilding Co,1942-12-22,1943-01-21,1943-01-31,40.0,Francis Nash,"Sold private 1947, scrapped 1971"
Giansar,Cargo,625,Oregon Shipbuilding Corp,1942-12-27,1943-01-19,1943-01-31,35.0,Thomas Ewing,"To U.S. Navy as Giansar (AK-111), scrapped 1963"
Andrew G Curtin,Cargo,934,Bethlehem-Fairfield Shipyards,1942-12-09,1943-01-18,1943-01-31,53.0,Andrew G. Curtin,Torpedoed and lost in the Barents Sea 1944
Richard Yates,Cargo,454,Permanente Metals Co Yard,1942-12-18,1943-01-22,1943-01-31,44.0,Richard Yates,Scrapped 1971
Walter Forward,Cargo,626,Oregon Shipbuilding Corp,1942-12-28,1943-01-22,1943-02-02,36.0,Walter Forward,Scrapped 1961
Thomas Hart Benton,Cargo,1228,Marinship Corp,1942-09-11,1942-12-20,1943-02-02,144.0,Thomas Hart Benton,Scrapped 1969
William S Young,Cargo,699,California Shipbuilding Corp,1942-12-22,1943-01-18,1943-02-02,42.0,William S. Young,"Sold private 1947, wrecked and abandoned 1964"
Ephraim Brevard,Cargo,883,North Carolina Shipbuilding Co,1942-12-24,1943-01-24,1943-02-03,41.0,Ephraim Brevard,Scrapped 1972
Moses Cleaveland,Cargo,1750,Kaiser Co,1942-11-24,1943-01-17,1943-02-04,72.0,Moses Cleaveland,"Grain storage 1950s, sold for scrap 6 February 1961"
Black Hawk ,Cargo,1023,Delta Shipbuilding Co,1942-12-08,1943-01-18,1943-02-04,58.0,Black Hawk,"Torpedoed in the English Channel 1944, declared total loss, salvaged and scrapped 1967"
Calvin Coolidge,Cargo,773,New England Shipbuilding Corp,1942-10-19,1943-01-02,1943-02-04,108.0,Calvin Coolidge,Scrapped 1965
Franklin MacVeagh,Cargo,627,Oregon Shipbuilding Corp,1942-12-31,1943-01-29,1943-02-06,37.0,Franklin MacVeagh,"Sold private 1947, scrapped 1967"
George E Badger,Cargo,884,North Carolina Shipbuilding Co,1942-12-27,1943-01-26,1943-02-06,41.0,George E. Badger,Scrapped 1972
Lyman J Gage,Cargo,520,Permanente Metals Co Yard,1942-12-29,1943-01-29,1943-02-06,39.0,Lyman J. Gage,"To U.S. Navy as Cheleb (AK-138), scrapped 1978"
William McKinley,Cargo,932,Bethlehem-Fairfield Shipyards,1942-12-07,1943-01-21,1943-02-06,61.0,William McKinley,Scrapped 1971
George E Hale,Cargo,700,California Shipbuilding Corp,1942-12-23,1943-01-19,1943-02-06,45.0,George E. Hale,Scrapped 1961
Thomas Nast,Cargo,701,California Shipbuilding Corp,1942-12-27,1943-01-21,1943-02-07,42.0,Thomas Nast,"To Russia 1944 as Jean Jaures, scrapped 1974"
George M Bibb,Cargo,628,Oregon Shipbuilding Corp,1943-01-02,1943-01-31,1943-02-08,37.0,George M. Bibb,Scrapped 1962
Nancy Hanks,Cargo,455,Permanente Metals Co Yard,1942-12-21,1943-01-24,1943-02-08,49.0,Nancy Hanks,Scrapped 1958
Flora MacDonald,Cargo,885,North Carolina Shipbuilding Co,1942-12-30,1943-01-30,1943-02-09,41.0,Flora MacDonald,Torpedoed and lost off Sierra Leone 1943
Samuel P Langley,Cargo,702,California Shipbuilding Corp,1942-12-28,1943-01-24,1943-02-09,43.0,Samuel P. Langley,"To Russia 1944 as Voikov, hulked 1977"
Daniel Webster,Cargo,211,New England Shipbuilding Corp,1942-11-01,1943-01-28,1943-02-10,101.0,Daniel Webster,"Torpedoed from the air off Oran and beached 1944, scrapped 1948"
Francis Preston Blair,Cargo,1230,Marinship Corp,1942-10-17,1943-01-03,1943-02-10,116.0,Francis Preston Blair,"Grounded on a reef off Queensland 1945, still there"
Joseph Henry,Cargo,1751,Kaiser Co,1942-11-27,1943-01-23,1943-02-10,75.0,Joseph Henry,Sold 12 October 1943
Richard Olney,Cargo,1026,Delta Shipbuilding Co,1942-12-13,1943-01-22,1943-02-11,60.0,Richard Olney,"Mined off Tunisia 1943, TL, scrapped 1948"
Horace Gray,Cargo,936,Bethlehem-Fairfield Shipyards,1942-12-14,1943-01-25,1943-02-11,59.0,Horace Gray,"Torpedoed in Kola Inlet 1945, beached, TL"
Edward P Costigan,Cargo,456,Permanente Metals Co Yard,1942-12-23,1943-01-28,1943-02-11,50.0,Edward P. Costigan,Scrapped 1959
James Robertson,Cargo,703,California Shipbuilding Corp,1942-12-29,1943-01-26,1943-02-11,44.0,James Robertson,Torpedoed and lost off Brazil 1943
William J Worth,Cargo,704,California Shipbuilding Corp,1942-12-30,1943-01-28,1943-02-12,44.0,William J. Worth,Scrapped 1967
John Armstrong,Cargo,829,Todd Houston Shipbuilding Corp,1942-12-03,1943-01-28,1943-02-12,71.0,John Armstrong,Scrapped 1964
John A Dix,Cargo,774,New England Shipbuilding Corp,1942-10-19,1943-01-02,1943-02-12,116.0,John A. Dix,"Sold private 1947, scrapped 1968"
Benjamin Bonneville,Cargo,459,Permanente Metals Co Yard,1942-12-31,1943-01-30,1943-02-12,43.0,Benjamin Bonneville,"Sold private 1947, scrapped 1968"
Robert J Walker,Cargo,629,Oregon Shipbuilding Corp,1943-01-05,1943-02-02,1943-02-12,38.0,Robert J. Walker,"Torpedoed and sunk off Moruya, New South Wales on 25 December 1944"
William H Aspinwall,Cargo,521,Permanente Metals Co Yard,1942-12-31,1943-02-04,1943-02-13,44.0,William H. Aspinwall,Scrapped 1972
James Oglethorpe,Cargo,341,Southeastern Shipbuilding Corp,1942-05-22,1942-11-20,1943-02-13,267.0,James Oglethorpe,
James Sprunt,Cargo,886,North Carolina Shipbuilding Co,1943-01-05,1943-02-03,1943-02-13,39.0,James Sprunt,Torpedoed and lost off Cuba 1943
William Coddington,Cargo,1457,Walsh-Kaiser Co,1942-06-27,1942-11-27,1943-02-13,231.0,William Coddington,Scrapped 1967
William M Meredith,Cargo,630,Oregon Shipbuilding Corp,1943-01-07,1943-02-05,1943-02-14,38.0,William M. Meredith,Scrapped 1960
Howard Stansbury,Cargo,705,California Shipbuilding Corp,1942-12-31,1943-01-30,1943-02-15,46.0,Howard Stansbury,Scrapped 1961
Richard Henderson,Cargo,458,Permanente Metals Co Yard,1942-12-29,1943-01-31,1943-02-15,48.0,Richard Henderson,Torpedoed and lost off Sardinia 1943
George Shiras,Cargo,939,Bethlehem-Fairfield Shipyards,1942-12-22,1943-02-05,1943-02-15,55.0,George Shiras,"Sold private 1947, scrapped 1968"
Situla,Cargo,1590,Oregon Shipbuilding Corp,1943-01-09,1943-02-07,1943-02-16,38.0,John Whiteaker,"To U.S. Navy as Situla (AK-140), scrapped 1961"
Matt W Ransom,Cargo,887,North Carolina Shipbuilding Co,1943-01-09,1943-02-06,1943-02-16,38.0,Matt W. Ransom,"Torpedoed off Casablanca, repaired, sunk as breakwater off Normandy and abandoned 1944"
Wildcat,Tanker,1934,Delta Shipbuilding Co,1942-11-16,1943-01-07,1943-02-16,92.0,Leon Godchaux,"To U.S. Navy as Wildcat (IX-130), then AW-2, to NDRF 1946, scrapped 1968"
Sam Jackson,Cargo,1591,Oregon Shipbuilding Corp,1943-01-11,1943-02-09,1943-02-17,37.0,Sam Jackson,Scrapped 1968
Henry B Brown,Cargo,938,Bethlehem-Fairfield Shipyards,1942-12-15,1943-01-28,1943-02-17,64.0,Henry B. Brown,Scrapped 1965
Robert Stuart,Cargo,706,California Shipbuilding Corp,1943-01-03,1943-01-31,1943-02-17,45.0,Robert Stuart,Scrapped 1961
Pierre Soule,Cargo,320,Delta Shipbuilding Co,1942-12-15,1943-01-30,1943-02-17,64.0,Pierre Soule,"Torpedoed off Palermo 1943, repaired, scrapped 1969"
Furnifold M Simmons,Cargo,888,North Carolina Shipbuilding Co,1943-01-13,1943-02-10,1943-02-18,36.0,Furnifold McLendel Simmons,"Sold private 1947, scrapped 1968"
Tungus,Cargo,457,Permanente Metals Co Yard,1942-12-27,1943-02-04,1943-02-18,53.0,Sieur Duluth,"To Russia 1943 as Tungus, scrapped 1970"
Owen Summers,Cargo,1592,Oregon Shipbuilding Corp,1943-01-13,1943-02-11,1943-02-19,37.0,Owen Summers,Scrapped 1961
William Dunbar,Cargo,707,California Shipbuilding Corp,1943-01-05,1943-02-02,1943-02-19,45.0,William Dunbar,"Sold private 1947, sunk 1951"
Walter E Ranger,Cargo,775,New England Shipbuilding Corp,1942-11-12,1943-01-31,1943-02-19,99.0,Walter E. Ranger,Scrapped 1972
Grenville M Dodge,Cargo,522,Permanente Metals Co Yard,1943-01-05,1943-02-09,1943-02-20,46.0,Grenville M. Dodge,Scrapped 1974
William H Crawford,Cargo,830,Todd Houston Shipbuilding Corp,1942-12-14,1943-02-05,1943-02-20,68.0,William H. Crawford,Scrapped 1969
Mark Hopkins,Cargo,1231,Marinship Corp,1942-11-12,1943-01-17,1943-02-20,100.0,Mark Hopkins,Scrapped 1968
Kolkhosnik,Cargo,460,Permanente Metals Co Yard,1943-01-02,1943-02-07,1943-02-20,49.0,Charles Wilkes,"To Russia 1943 as Kolkhosnik, scrapped 1976"
Edward B Dudley,Cargo,889,North Carolina Shipbuilding Co,1943-01-17,1943-02-13,1943-02-21,35.0,Edward B. Dudley,Torpedoed and lost in the North Atlantic 1943
Ascella,Cargo,708,California Shipbuilding Corp,1943-01-07,1943-02-04,1943-02-21,45.0,George C. Yount,"To U.S. Navy as Ascella (AK-137), scrapped 1964"
Laura Keene,Cargo,1752,Kaiser Co,1942-11-30,1943-02-01,1943-02-21,83.0,Laura Keene,"Grain storage 1950s, sold for scrap 16 October 1972"
Molly Pitcher,Cargo,935,Bethlehem-Fairfield Shipyards,1942-12-12,1943-01-30,1943-02-22,72.0,Molly Pitcher,Torpedoed and lost west of Lisbon 1943
Solomon Juneau,Cargo,709,California Shipbuilding Corp,1943-01-09,1943-02-06,1943-02-23,45.0,Solomon Juneau,"Torpedoed off Boulogne 1945, scrapped 1962"
Arthur Riggs,Cargo,1593,Oregon Shipbuilding Corp,1943-01-15,1943-02-13,1943-02-23,39.0,Arthur Stanley Riggs,Scrapped 1962
Thomas Kearns,Cargo,462,Permanente Metals Co Yard,1943-01-11,1943-02-12,1943-02-23,43.0,Thomas Kearns,Scrapped 1961
Samuel Blatchford,Cargo,937,Bethlehem-Fairfield Shipyards,1942-12-15,1943-02-06,1943-02-23,70.0,Samuel Blatchford,Scrapped 1969
William Pierce Frye,Cargo,212,New England Shipbuilding Corp,1942-11-15,1943-02-11,1943-02-23,100.0,William Pierce Frye,Torpedoed and lost in the North Atlantic 1943
William Harper,Cargo,319,Delta Shipbuilding Co,1942-12-29,1943-02-10,1943-02-24,57.0,William Harper,Scrapped 1973
Willie Jones,Cargo,890,North Carolina Shipbuilding Co,1943-01-19,1943-02-16,1943-02-24,36.0,Willie Jones,Sunk as target
Walter Reed,Cargo,1753,Kaiser Co,1942-12-03,1943-02-06,1943-02-24,83.0,Walter Reed,Sold 19 January 1967 for scrap
Edmund Fanning,Cargo,710,California Shipbuilding Corp,1943-01-11,1943-02-08,1943-02-25,45.0,Edmund Fanning,Exploded and scrapped 1947
James Barbour,Cargo,831,Todd Houston Shipbuilding Corp,1942-12-19,1943-02-10,1943-02-25,68.0,James Barbour,Scrapped 1970
Julien Dubuque,Cargo,523,Permanente Metals Co Yard,1943-01-09,1943-02-16,1943-02-26,48.0,Julien Dubuque,Scrapped 1971
Lot Whitcomb,Cargo,1594,Oregon Shipbuilding Corp,1943-01-17,1943-02-16,1943-02-26,40.0,Lot Whitcomb,"Sold private 1947, scrapped 1968"
Justin S Morrill,Cargo,461,Permanente Metals Co Yard,1943-01-07,1943-02-13,1943-02-26,50.0,Justin S. Morrill,Scrapped 1962
Mahlon Pitney,Cargo,942,Bethlehem-Fairfield Shipyards,1942-12-31,1943-02-11,1943-02-26,57.0,Mahlon Pitney,"Sold private 1968, converted to a crane barge"
Phineas Banning,Cargo,711,California Shipbuilding Corp,1943-01-12,1943-02-09,1943-02-27,46.0,Phineas Banning,Scrapped 1967
Noah Webster,Cargo,776,New England Shipbuilding Corp,1942-11-12,1943-01-31,1943-02-27,107.0,Noah Webster,Reefed off Alabama 1976
James Moore,Cargo,891,North Carolina Shipbuilding Co,1943-01-21,1943-02-19,1943-02-27,37.0,James Moore,"Sold private 1947, scrapped 1972"
Andrew D White,Cargo,1232,Marinship Corp,1942-11-23,1943-01-28,1943-02-27,96.0,Andrew D. White,Scrapped 1962
Robert Bacon,Cargo,1027,Delta Shipbuilding Co,1943-01-04,1943-02-12,1943-02-28,55.0,Robert Bacon,"Torpedoed and lost off Mozambique, 1943"
Rufus W Peckham,Cargo,940,Bethlehem-Fairfield Shipyards,1942-12-22,1943-02-13,1943-02-28,68.0,Rufus W. Peckham,"Sold private 1947, wrecked and sunk 1959"
Joel R Poinsett,Cargo,833,Todd Houston Shipbuilding Corp,1942-12-31,1943-02-19,1943-02-28,59.0,Joel R. Poinsett,"Broke in two in North Atlantic 1944, salvaged, depot ship"
John H Eaton,Cargo,832,Todd Houston Shipbuilding Corp,1942-12-22,1943-02-15,1943-02-28,68.0,John H. Eaton,"Sold private 1947, scrapped 1968"
Morton M McCarver,Cargo,1595,Oregon Shipbuilding Corp,1943-01-19,1943-02-18,1943-02-28,40.0,Morton M. McCarver,Scrapped 1967
Edmund Randolph,Cargo,712,California Shipbuilding Corp,1943-01-15,1943-02-12,1943-02-28,44.0,Edmund Randolph,Scrapped 1966
Vitus Bering,Cargo,463,Permanente Metals Co Yard,1943-01-14,1943-02-17,1943-02-28,45.0,Vitus Bering,Scrapped 1961
Hall J Kelley,Cargo,1596,Oregon Shipbuilding Corp,1943-01-26,1943-02-20,1943-03-01,34.0,Hall J. Kelley,"Sold private 1947, scrapped 1968"
Alfred Moore,Cargo,892,North Carolina Shipbuilding Co,1943-01-24,1943-02-22,1943-03-02,37.0,Alfred Moore,Scrapped 1961
William R Day,Cargo,941,Bethlehem-Fairfield Shipyards,1942-12-24,1943-02-12,1943-03-02,68.0,William R. Day,Scrapped 1959
Edward Livingston,Cargo,713,California Shipbuilding Corp,1943-01-19,1943-02-13,1943-03-03,43.0,Edward Livingston,Scrapped 1966
Adoniram Judson,Cargo,524,Permanente Metals Co Yard,1943-01-13,1943-02-19,1943-03-03,49.0,Adoniram Judson,Scrapped 1974
Russell A Alger,Cargo,1754,Kaiser Co,1942-12-07,1943-02-11,1943-03-03,86.0,Russell A. Alger,Sold for scrap 9 May 1973
Nathan Clifford,Cargo,944,Bethlehem-Fairfield Shipyards,1943-01-01,1943-02-18,1943-03-03,61.0,Nathan Clifford,"Sold private 1947, sunk 1965"
E Kirby Smith,Cargo,1519,J A Jones Construction Co (Panama City),1942-07-09,1942-12-30,1943-03-03,237.0,E. Kirby Smith,Scrapped 1956
John R Park,Cargo,466,Permanente Metals Co Yard,1943-01-22,1943-02-20,1943-03-04,41.0,John R. Park,Torpedoed and lost off Cornwall 1945
John W Cullen,Cargo,1597,Oregon Shipbuilding Corp,1943-01-29,1943-02-22,1943-03-04,34.0,John W. Cullen,Scrapped 1963
George Handley,Cargo,342,Southeastern Shipbuilding Corp,1942-05-22,1942-12-07,1943-03-04,286.0,George Handley,Scrapped 1964
Eliphalet Nott,Cargo,777,New England Shipbuilding Corp,1942-11-28,1943-02-14,1943-03-05,97.0,Eliphalet Nott,Scrapped 1954
Isaac Sharpless,Cargo,778,New England Shipbuilding Corp,1942-11-28,1943-02-14,1943-03-05,97.0,Isaac Sharpless,Scrapped 1971
Josiah Royce,Cargo,714,California Shipbuilding Corp,1943-01-20,1943-02-16,1943-03-05,44.0,Josiah Royce,Scrapped 1966
Hiram S Maxim,Cargo,468,Permanente Metals Co Yard,1943-01-28,1943-02-24,1943-03-06,37.0,Hiram S. Maxim,"Bombed off Algeria 1943, repaired, scrapped 1965"
De Grasse,Cargo,1598,Oregon Shipbuilding Corp,1943-01-31,1943-02-24,1943-03-06,34.0,Nathaniel J. Wyeth,"To U.S. Navy as De Grasse (AP-164), scrapped 1970"
